"x"
"store"
"world"
"new_world"
"season_group"
"mc_type"
"brand"
"new_simplified_product"
"fashion_pyramid"
"ag_description"
"sku"
"size_new"
"fy_year"
"week"
"sls_qty"
"nsv"
"sls_mrp"
"week_num"
"fy_year_num"
"wave"
"n_skus"
"net_qty"
"net_sales"
"state"
"type"
"carpet_area_sq_ft"
"store_classification"
